,YEAR,COMPETITION,STAGE,Home,HomeScore,AwayScore,Away,ExtraEnd
71,1,Brazil League Play,1,Rio de Janeiro,17,10,Campo Grande,False
72,1,Brazil League Play,1,Brasilia,5,7,Teresina,False
73,1,Brazil League Play,1,Salvador,12,11,Natal,True
74,1,Brazil League Play,1,Fortaleza,9,11,Maceio,False
75,1,Brazil League Play,1,Belo Horizonte,10,15,Sao Luis,False
76,1,Brazil League Play,1,Manaus,6,8,Campinas,False
77,1,Brazil League Play,1,Curitiba,11,9,Guarulhos,False
78,1,Brazil League Play,1,Recife,5,9,Porto Alegre,False
79,1,Brazil League Play,1,Goiania,15,10,Belem,False
80,1,Canada League Play,1,Toronto,13,9,Longueuil,False
81,1,Canada League Play,1,Montreal,10,9,Gatineau,True
82,1,Canada League Play,1,Calgary,16,9,Saskatoon,False
83,1,Canada League Play,1,Ottawa,14,9,Vaughan,False
84,1,Canada League Play,1,Edmonton,9,12,Markham,False
85,1,Canada League Play,1,Winnipeg,8,7,London,False
86,1,Canada League Play,1,Mississauga,9,14,Laval,False
87,1,Canada League Play,1,Vancouver,7,12,Halifax,False
88,1,Canada League Play,1,Brampton,13,8,Quebec City,False
89,1,Canada League Play,1,Hamilton,11,10,Surrey,True
90,1,Chile League Play,1,Santiago,12,7,Villa Alemana,False
91,1,Chile League Play,1,Concepcion,11,5,Quilpue,False
92,1,Chile League Play,1,Valparaiso,18,10,Osorno,False
93,1,Chile League Play,1,Antofagasta,21,8,Calama,False
94,1,Chile League Play,1,La Serena,11,9,San Pedro de la Paz,False
95,1,Chile League Play,1,Temuco,11,9,Punta Arenas,False
96,1,Chile League Play,1,Rancagua,12,8,Valdivia,False
97,1,Chile League Play,1,Puerto Montt,12,9,Copiapó,False
98,1,Chile League Play,1,Iquique,8,10,Coquimbo,False
99,1,Chile League Play,1,Arica,12,11,Talca,True
100,1,China League Play,1,Chongqing,14,9,Kunming,False
101,1,China League Play,1,Shanghai,10,16,Dalian,False
102,1,China League Play,1,Beijing,7,6,Changsha,False
103,1,China League Play,1,Shenzhen,10,4,Shenyang,False
104,1,China League Play,1,Guangzhou,7,8,Nanjing,False
105,1,China League Play,1,Tianjin,13,8,Jinan,False
106,1,China League Play,1,Xi'an,13,10,Chengdu,False
107,1,China League Play,1,Zhengzhou,7,10,Qingdao,False
108,1,China League Play,1,Hangzhou,9,15,Harbin,False
109,1,China League Play,1,Wuhan,15,9,Suzhou,False
110,1,Colombia League Play,1,Bogota,22,6,Manizales,False
111,1,Colombia League Play,1,Cali,18,8,Monteria,False
112,1,Colombia League Play,1,Medellín,14,9,Neiva,False
113,1,Colombia League Play,1,Barranquilla,11,8,Palmira,False
114,1,Colombia League Play,1,Cartagena,9,10,Armenia,False
115,1,Colombia League Play,1,Cucuta,7,9,Santa Marta,False
116,1,Colombia League Play,1,Soledad,8,10,Valledupar,False
117,1,Colombia League Play,1,Bucaramanga,5,3,Pasto,False
118,1,Colombia League Play,1,Pereira,7,10,Soacha,False
119,1,Colombia League Play,1,Ibague,9,12,Villavicencio,False
120,1,Czech Republic League Play,1,Prague,14,9,Teplice,False
121,1,Czech Republic League Play,1,Brno,13,9,Decin,False
122,1,Czech Republic League Play,1,Ostrava,12,9,Jihlava,False
123,1,Czech Republic League Play,1,Plzen,10,8,Opava,False
124,1,Czech Republic League Play,1,Liberec,14,10,Frydek-Mistek,False
125,1,Czech Republic League Play,1,Hradec Králové,12,10,Karvina,False
126,1,Czech Republic League Play,1,Pardubice,8,7,Most,False
127,1,Czech Republic League Play,1,Ústí nad Labem,9,12,Kladno,False
128,1,Czech Republic League Play,1,Olomouc,10,8,Zlín,False
129,1,Czech Republic League Play,1,České Budějovice,10,8,Havirov,False
130,1,Denmark League Play,1,Copenhagen,14,9,Sønderborg,False
131,1,Denmark League Play,1,Aarhus,14,9,Fredericia,False
132,1,Denmark League Play,1,Aalborg,14,10,Naestved,False
133,1,Denmark League Play,1,Odense,16,8,Hillerød,False
134,1,Denmark League Play,1,Esbjerg,7,10,Helsingør,False
135,1,Denmark League Play,1,Vejle,7,9,Holstebro,False
136,1,Denmark League Play,1,Copenhagen S,10,9,Viborg,False
137,1,Denmark League Play,1,Frederiksberg,14,9,Silkeborg,False
138,1,Denmark League Play,1,Herning,11,10,Kolding,False
139,1,Denmark League Play,1,Randers,7,6,Horsens,True
140,1,Ecuador League Play,1,Guayaquil,19,10,Azogues,False
141,1,Ecuador League Play,1,Quito,18,10,Nueva Loja,False
142,1,Ecuador League Play,1,Cuenca,8,7,Tulcán,True
143,1,Ecuador League Play,1,Santo Domingo,11,12,Eloy Alfaro,False
144,1,Ecuador League Play,1,Portoviejo,7,11,Riobamba,False
145,1,Ecuador League Play,1,Machala,10,16,Latacunga,False
146,1,Ecuador League Play,1,Manta,11,10,Quevedo,True
147,1,Ecuador League Play,1,Loja,13,10,Babahoyo,False
148,1,Ecuador League Play,1,Esmeraldas,7,6,Milagro,False
149,1,Ecuador League Play,1,Ibarra,10,15,Ambato,False
150,1,Egypt League Play,1,Cairo,18,9,Sohag,False
151,1,Egypt League Play,1,Alexandria,19,7,Fayyum,False
152,1,Egypt League Play,1,Giza,16,7,Dammietta,False
153,1,Egypt League Play,1,Shubra El Kheima,11,12,Aswan,False
154,1,Egypt League Play,1,Suez,9,8,Beni Suef,False
155,1,Egypt League Play,1,Port Said,11,10,Zagazig,True
156,1,Egypt League Play,1,Al-Mansura,11,10,Damanhur,True
157,1,Egypt League Play,1,El-Mahalla El-Kubra,12,7,Minya,False
158,1,Egypt League Play,1,Tanta,9,8,Luxor,True
159,1,Egypt League Play,1,Asyut,9,12,Ismailia,False
160,1,Ethiopia League Play,1,Addis Ababa,16,11,Harar,False
161,1,Ethiopia League Play,1,Dire Dawa,14,8,Dilla,False
162,1,Ethiopia League Play,1,Gondar,10,9,Nekemte,False
163,1,Ethiopia League Play,1,Mekele,10,8,Debre Markos,False
164,1,Ethiopia League Play,1,Nazret,8,15,Kombolcha,False
165,1,Ethiopia League Play,1,Bahir Dar,13,8,Sodo,False
166,1,Ethiopia League Play,1,Hawassa,9,6,Arba Minch,False
167,1,Ethiopia League Play,1,Dessie,12,8,Hosaena,False
168,1,Ethiopia League Play,1,Jimma,13,8,Bishoftu,False
169,1,Ethiopia League Play,1,Jijiga,10,8,Shashamane,False
170,1,Finland League Play,1,Helsinki,18,11,Kotka,False
171,1,Finland League Play,1,Espoo,12,8,Salo,False
172,1,Finland League Play,1,Tampere,10,8,Mikkeli,False
173,1,Finland League Play,1,Vantaa,17,8,Lappeenranta,False
174,1,Finland League Play,1,Oulu,10,5,Hameenlinna,False
175,1,Finland League Play,1,Turku,18,8,Rovaniemi,False
176,1,Finland League Play,1,Jyvaskyla,9,8,Vaasa,False
177,1,Finland League Play,1,Kuopio,10,5,Seinajoki,False
178,1,Finland League Play,1,Lahti,13,7,Joensuu,False
179,1,Finland League Play,1,Pori,6,8,Kouvola,False
180,1,France League Play,1,Paris,12,9,Nimes,False
181,1,France League Play,1,Marseille,12,8,Villeurbanne,False
182,1,France League Play,1,Lyon,6,7,Angers,False
183,1,France League Play,1,Toulouse,6,8,Dijon,False
184,1,France League Play,1,Nice,8,9,Grenoble,False
185,1,France League Play,1,Nantes,9,10,Saint-Etienne,False
186,1,France League Play,1,Montpellier,11,9,Le Havre,False
187,1,France League Play,1,Strasbourg,15,10,Toulon,False
188,1,France League Play,1,Bordeaux,8,9,Reims,False
189,1,France League Play,1,Lille,9,11,Rennes,False
190,1,Germany League Play,1,Berlin,16,8,Mannheim,False
191,1,Germany League Play,1,Hamburg,8,7,Bielefeld,True
192,1,Germany League Play,1,Munich,18,9,Bonn,False
193,1,Germany League Play,1,Cologne,12,8,Wuppertal,False
194,1,Germany League Play,1,Frankfurt,10,13,Bochum,False
195,1,Germany League Play,1,Stuttgart,10,13,Duisburg,False
196,1,Germany League Play,1,Dusseldorf,8,11,Nuremberg,False
197,1,Germany League Play,1,Leipzig,3,4,Hanover,False
198,1,Germany League Play,1,Dortmund,10,8,Dresden,False
199,1,Germany League Play,1,Essen,15,7,Bremen,False
200,1,Greece League Play,1,Athens,17,9,Ioannina,False
201,1,Greece League Play,1,Thessaloniki,14,7,Chania,False
202,1,Greece League Play,1,Patras,14,8,Chalcis,False
203,1,Greece League Play,1,Heraklion,16,9,Acharnes,False
204,1,Greece League Play,1,Larissa,9,15,Kalamaria,False
205,1,Greece League Play,1,Volos,15,8,Nikaia,False
206,1,Greece League Play,1,Peristeri,9,8,Glyfada,True
207,1,Greece League Play,1,Piraeus,9,10,Ilion,False
208,1,Greece League Play,1,Kallithea,9,8,Rhodes,True
209,1,Greece League Play,1,Zografou,14,6,Agios Dimitrios,False
210,1,Hong Kong League Play,1,Hong Kong,19,10,Hung Hom,False
211,1,Hong Kong League Play,1,Kowloon,16,8,Central,False
212,1,Hong Kong League Play,1,Sha Tin,9,10,Causeway Bay,False
213,1,Hong Kong League Play,1,Yuen Long,9,11,Shau Kei Wan,False
214,1,Hong Kong League Play,1,Kwai Chung,9,8,Aberdeen,False
215,1,Hong Kong League Play,1,Tuen Mun,13,7,Mong Kok,False
216,1,Hong Kong League Play,1,Tseung Kwan O,11,9,Ma On Shan,False
217,1,Hong Kong League Play,1,Tai Po,9,7,Wan Chai,False
218,1,Hong Kong League Play,1,Tsuen Wan,19,11,Tin Shui Wai,False
219,1,Hong Kong League Play,1,Sai Kung,10,12,Fanling,False
220,1,Hungary League Play,1,Budapest,17,8,Kaposvar,False
221,1,Hungary League Play,1,Debrecen,10,7,Veszprem,False
222,1,Hungary League Play,1,Miskolc,12,8,Bekescsaba,False
223,1,Hungary League Play,1,Szeged,17,7,Eger,False
224,1,Hungary League Play,1,Gyor,10,8,Érd,False
225,1,Hungary League Play,1,Kecskemet,10,9,Dunaujvaros,False
226,1,Hungary League Play,1,Pécs,14,7,Sopron,False
227,1,Hungary League Play,1,Győr,9,10,Zalaegerszeg,False
228,1,Hungary League Play,1,Nyiregyhaza,16,8,Szolnok,False
229,1,Hungary League Play,1,Szekesfehervar,11,8,Szombathely,False
230,1,India League Play,1,Delhi,14,10,Ghaziabad,False
231,1,India League Play,1,Mumbai,12,8,Visakhapatnam,False
232,1,India League Play,1,Kolkata,8,10,Vadodara,False
233,1,India League Play,1,Bangalore,6,5,Patna,False
234,1,India League Play,1,Hyderabad,8,11,Bhopal,False
235,1,India League Play,1,Chennai,7,6,Thane,True
236,1,India League Play,1,Ahmedabad,6,7,Nagpur,False
237,1,India League Play,1,Pune,14,10,Kanpur,False
238,1,India League Play,1,Surat,11,9,Indore,False
239,1,India League Play,1,Jaipur,8,16,Lucknow,False
240,1,Indonesia League Play,1,Jakarta,13,7,Pontianak,False
241,1,Indonesia League Play,1,Surabaya,9,8,Banjarmasin,True
242,1,Indonesia League Play,1,Bandung,13,9,Tasikmalaya,False
243,1,Indonesia League Play,1,Bekasi,11,13,Samarinda,False
244,1,Indonesia League Play,1,Medan,7,6,Malang,False
245,1,Indonesia League Play,1,Depok,8,7,Padang,False
246,1,Indonesia League Play,1,Tangerang,16,9,Bandar Lampung,False
247,1,Indonesia League Play,1,Semarang,12,8,Bogor,False
248,1,Indonesia League Play,1,Makassar,10,11,Pekanbaru,False
249,1,Indonesia League Play,1,Palembang,17,10,Batam,False
250,1,Iraq League Play,1,Baghdad,11,7,Tikrit,False
251,1,Iraq League Play,1,Basra,21,10,Diyala,False
252,1,Iraq League Play,1,Mosul,12,7,Fallujah,False
253,1,Iraq League Play,1,Erbil,11,10,Amarah,False
254,1,Iraq League Play,1,Kirkuk,13,8,Samawah,False
255,1,Iraq League Play,1,Sulaymaniyah,14,7,Dohuk,False
256,1,Iraq League Play,1,Najaf,11,17,Kut,False
257,1,Iraq League Play,1,Karbala,10,11,Diwaniyah,False
258,1,Iraq League Play,1,Nasiriyah,9,7,Baqubah,False
259,1,Iraq League Play,1,Ramadi,6,7,Hillah,False
260,1,Ireland League Play,1,Dublin,13,6,Athlone,False
261,1,Ireland League Play,1,Cork,15,9,Mullingar,False
262,1,Ireland League Play,1,Limerick,13,8,Ennis,False
263,1,Ireland League Play,1,Galway,9,10,Tralee,False
264,1,Ireland League Play,1,Waterford,17,9,Portlaoise,False
265,1,Ireland League Play,1,Drogheda,10,8,Newbridge,False
266,1,Ireland League Play,1,Swords,11,10,Carlow,True
267,1,Ireland League Play,1,Dundalk,16,8,Naas,False
268,1,Ireland League Play,1,Bray,6,8,Balbriggan,False
269,1,Ireland League Play,1,Kilkenny,15,10,Navan,False
270,1,Israel League Play,1,Jerusalem,16,10,Ramla,False
271,1,Israel League Play,1,Tel Aviv,20,10,Lod,False
272,1,Israel League Play,1,Haifa,8,10,Nazareth,False
273,1,Israel League Play,1,Petah Tikva,18,10,Modi'in,False
274,1,Israel League Play,1,Rishon LeZion,10,9,Kfar Saba,False
275,1,Israel League Play,1,Ashdod,10,8,Herzliya,False
276,1,Israel League Play,1,Netanya,16,10,Bat Yam,False
277,1,Israel League Play,1,Beer Sheva,7,9,Ashkelon,False
278,1,Israel League Play,1,Bnei Brak,11,8,Rehovot,False
279,1,Israel League Play,1,Holon,9,7,Ramat Gan,False
280,1,Italy League Play,1,Rome,13,10,Reggio Calabria,False
281,1,Italy League Play,1,Milan,7,6,Modena,True
282,1,Italy League Play,1,Naples,10,16,Parma,False
283,1,Italy League Play,1,Turin,14,10,Brescia,False
284,1,Italy League Play,1,Palermo,7,8,Taranto,False
285,1,Italy League Play,1,Genoa,9,10,Trieste,False
286,1,Italy League Play,1,Bologna,8,11,Padua,False
287,1,Italy League Play,1,Florence,10,12,Messina,False
288,1,Italy League Play,1,Bari,11,8,Verona,False
289,1,Italy League Play,1,Catania,8,14,Venice,False
290,1,Japan League Play,1,Tokyo,8,9,Shizuoka,False
291,1,Japan League Play,1,Yokohama,13,10,Sagamihara,False
292,1,Japan League Play,1,Osaka,14,8,Okayama,False
293,1,Japan League Play,1,Nagoya,12,9,Niigata,False
294,1,Japan League Play,1,Sapporo,11,9,Hamamatsu,False
295,1,Japan League Play,1,Fukuoka,8,11,Sakai,False
296,1,Japan League Play,1,Kobe,11,8,Kitakyushu,False
297,1,Japan League Play,1,Kawasaki,8,10,Chiba,False
298,1,Japan League Play,1,Kyoto,9,13,Sendai,False
299,1,Japan League Play,1,Saitama,7,9,Hiroshima,False
300,1,Kazakhstan League Play,1,Almaty,11,8,Kokshetau,False
301,1,Kazakhstan League Play,1,Shymkent,17,8,Ekibastuz,False
302,1,Kazakhstan League Play,1,Astana,12,7,Rudny,False
303,1,Kazakhstan League Play,1,Karaganda,9,7,Aktau,False
304,1,Kazakhstan League Play,1,Aktobe,8,7,Kostanay,False
305,1,Kazakhstan League Play,1,Taraz,8,6,Petropavl,False
306,1,Kazakhstan League Play,1,Pavlodar,8,9,Oral,False
307,1,Kazakhstan League Play,1,Semey,7,6,Kyzylorda,True
308,1,Kazakhstan League Play,1,Atyrau,12,7,Turkestan,False
309,1,Kazakhstan League Play,1,Ust-Kamenogorsk,8,9,Temirtau,False
310,1,Kenya League Play,1,Nairobi,21,10,Lamu,False
311,1,Kenya League Play,1,Mombasa,18,9,Embu,False
312,1,Kenya League Play,1,Kisumu,12,8,Naivasha,False
313,1,Kenya League Play,1,Nakuru,9,11,Wajir,False
314,1,Kenya League Play,1,Eldoret,12,10,Nyeri,False
315,1,Kenya League Play,1,Ruiru,10,9,Kericho,False
316,1,Kenya League Play,1,Kikuyu,8,11,Malindi,False
317,1,Kenya League Play,1,Machakos,7,9,Meru,False
318,1,Kenya League Play,1,Thika,8,12,Kisii,False
319,1,Kenya League Play,1,Garissa,10,15,Kitale,False
320,1,Kuwait League Play,1,Kuwait City,19,11,Sabahiya,False
321,1,Kuwait League Play,1,Hawalli,16,10,Um Al Hayman,False
322,1,Kuwait League Play,1,Al Farwaniyah,19,9,Ruq'i,False
323,1,Kuwait League Play,1,Al Ahmadi,10,11,Abu Halifa,False
324,1,Kuwait League Play,1,Jahra,10,7,Fintas,False
325,1,Kuwait League Play,1,Mubarak Al-Kabeer,14,9,Mishref,False
326,1,Kuwait League Play,1,Salmiya,9,11,Salwa,False
327,1,Kuwait League Play,1,Fahaheel,10,9,Bayan,False
328,1,Kuwait League Play,1,Rumaithiyya,10,9,Ar Riqqah,True
329,1,Kuwait League Play,1,Sabah Al-Salem,10,9,Al-Mangaf,False
330,1,Malaysia League Play,1,Kuala Lumpur,16,9,Putrajaya,False
331,1,Malaysia League Play,1,Klang,8,7,Miri,True
332,1,Malaysia League Play,1,Johor Bahru,7,10,Kuala Terengganu,False
333,1,Malaysia League Play,1,Penang,8,12,Alor Setar,False
334,1,Malaysia League Play,1,Ipoh,9,12,Kuantan,False
335,1,Malaysia League Play,1,Subang Jaya,8,9,Malacca,False
336,1,Malaysia League Play,1,Kuching,6,10,Kota Bharu,False
337,1,Malaysia League Play,1,Shah Alam,7,9,Kota Kinabalu,False
338,1,Malaysia League Play,1,Petaling Jaya,11,8,Seremban,False
339,1,Malaysia League Play,1,Kajang,10,6,Ampang Jaya,False
340,1,Mexico League Play,1,Mexico City,9,10,Acapulco,False
341,1,Mexico League Play,1,Puebla,14,8,Mexicali,False
342,1,Mexico League Play,1,Ecatepec,6,10,Aguascalientes,False
343,1,Mexico League Play,1,Tijuana,9,14,San Luis Potosi,False
344,1,Mexico League Play,1,Leon,9,11,Saltillo,False
345,1,Mexico League Play,1,Juarez,10,9,Culiacan,True
346,1,Mexico League Play,1,Guadalajara,9,8,Hermosillo,True
347,1,Mexico League Play,1,Zapopan,9,7,Merida,False
348,1,Mexico League Play,1,Monterrey,6,5,Naucalpan,True
349,1,Mexico League Play,1,Nezahualcoyotl,10,15,Chihuahua,False
350,1,Morocco League Play,1,Casablanca,14,7,Al Hoceima,False
351,1,Morocco League Play,1,Rabat,18,9,Mohammedia,False
352,1,Morocco League Play,1,Fes,8,10,El Jadida,False
353,1,Morocco League Play,1,Tangier,22,10,Beni Mellal,False
354,1,Morocco League Play,1,Sale,14,9,Nador,False
355,1,Morocco League Play,1,Marrakech,11,6,Taza,False
356,1,Morocco League Play,1,Agadir,11,8,Khouribga,False
357,1,Morocco League Play,1,Meknes,15,9,Temara,False
358,1,Morocco League Play,1,Kenitra,9,11,Safi,False
359,1,Morocco League Play,1,Oujda,8,9,Tetouan,False
360,1,Netherlands League Play,1,Amsterdam,16,8,Zwolle,False
361,1,Netherlands League Play,1,Rotterdam,9,5,Leiden,False
362,1,Netherlands League Play,1,The Hague,10,12,Dordrecht,False
363,1,Netherlands League Play,1,Utrecht,9,14,Amersfoort,False
364,1,Netherlands League Play,1,Tilburg,5,12,Zaanstad,False
365,1,Netherlands League Play,1,Eindhoven,8,3,Apeldoorn,False
366,1,Netherlands League Play,1,Groningen,7,16,Haarlem,False
367,1,Netherlands League Play,1,Almere,10,9,Enschede,True
368,1,Netherlands League Play,1,Breda,9,8,Haarlemmermeer,True
369,1,Netherlands League Play,1,Nijmegen,11,14,Arnhem,False
370,1,New Zealand League Play,1,Auckland,19,9,Blenheim,False
371,1,New Zealand League Play,1,Wellington,14,9,Timaru,False
372,1,New Zealand League Play,1,Christchurch,19,9,Taupo,False
373,1,New Zealand League Play,1,Hamilton,13,10,Masterton,False
374,1,New Zealand League Play,1,Tauranga,13,8,Levin,False
375,1,New Zealand League Play,1,Napier-Hastings,14,8,Gisborne,False
376,1,New Zealand League Play,1,Dunedin,9,8,Invercargill,True
377,1,New Zealand League Play,1,Palmerston North,7,6,Whanganui,True
378,1,New Zealand League Play,1,Whangarei,8,6,Rotorua,False
379,1,New Zealand League Play,1,New Plymouth,9,11,Nelson,False
380,1,Nigeria League Play,1,Lagos,14,7,Owerri,False
381,1,Nigeria League Play,1,Kano,20,10,Asaba,False
382,1,Nigeria League Play,1,Ibadan,7,9,Abeokuta,False
383,1,Nigeria League Play,1,Abuja,19,9,Sokoto,False
384,1,Nigeria League Play,1,Port Harcourt,9,11,Warri,False
385,1,Nigeria League Play,1,Benin City,15,11,Onitsha,False
386,1,Nigeria League Play,1,Kaduna,8,7,Ogbomosho,False
387,1,Nigeria League Play,1,Maiduguri,7,6,Enugu,True
388,1,Nigeria League Play,1,Zaria,9,8,Aba,True
389,1,Nigeria League Play,1,Ilorin,9,13,Jos,False
390,1,Norway League Play,1,Oslo,13,6,Kongsberg,False
391,1,Norway League Play,1,Bergen,13,9,Molde,False
392,1,Norway League Play,1,Stavanger,9,6,Lillehammer,False
393,1,Norway League Play,1,Trondheim,9,10,Haugesund,False
394,1,Norway League Play,1,Kristiansand,10,9,Porsgrunn,False
395,1,Norway League Play,1,Drammen,13,10,Alesund,False
396,1,Norway League Play,1,Fredrikstad,15,9,Tonsberg,False
397,1,Norway League Play,1,Sandnes,18,11,Bodø,False
398,1,Norway League Play,1,Skien,12,9,Sarpsborg,False
399,1,Norway League Play,1,Sandefjord,5,8,Asker,False
400,1,Oman League Play,1,Muscat,17,8,Khasab,False
401,1,Oman League Play,1,Seeb,15,7,Al Hamra,False
402,1,Oman League Play,1,Salalah,11,7,Shinas,False
403,1,Oman League Play,1,Sohar,15,9,Al Suwaiq,False
404,1,Oman League Play,1,Al Khuwair,11,8,Bahla,False
405,1,Oman League Play,1,Nizwa,8,16,Al Buraymi,False
406,1,Oman League Play,1,Sur,10,11,Izki,False
407,1,Oman League Play,1,Rustaq,12,11,Al Khaburah,False
408,1,Oman League Play,1,Bidbid,12,10,Saham,False
409,1,Oman League Play,1,Ibra,5,7,Ibri,False
410,1,Pakistan League Play,1,Karachi,8,7,Sukkur,False
411,1,Pakistan League Play,1,Lahore,14,5,Larkana,False
412,1,Pakistan League Play,1,Faisalabad,14,9,Sheikhupura,False
413,1,Pakistan League Play,1,Gujranwala,9,10,Rahim Yar Khan,False
414,1,Pakistan League Play,1,Rawalpindi,11,8,Jhang,False
415,1,Pakistan League Play,1,Multan,8,11,Dera Ghazi Khan,False
416,1,Pakistan League Play,1,Peshawar,13,9,Gujrat,False
417,1,Pakistan League Play,1,Hyderabad,15,9,Sialkot,False
418,1,Pakistan League Play,1,Islamabad,11,9,Sargodha,False
419,1,Pakistan League Play,1,Bahawalpur,13,10,Quetta,False
420,1,Peru League Play,1,Lima,11,8,Ayacucho,False
421,1,Peru League Play,1,Callao,14,10,Puno,False
422,1,Peru League Play,1,Arequipa,15,10,Tumbes,False
423,1,Peru League Play,1,Trujillo,9,6,Pisco,False
424,1,Peru League Play,1,Piura,14,8,Sullana,False
425,1,Peru League Play,1,Iquitos,19,10,Huanuco,False
426,1,Peru League Play,1,Chiclayo,11,10,Ica,True
427,1,Peru League Play,1,Chimbote,9,12,Juliaca,False
428,1,Peru League Play,1,Cusco,13,11,Pucallpa,False
429,1,Peru League Play,1,Huancayo,9,5,Tacna,False
430,1,Philippines League Play,1,Quezon City,9,10,Marikina,False
431,1,Philippines League Play,1,Davao,7,5,Imus,False
432,1,Philippines League Play,1,Manila,11,9,Makati,False
433,1,Philippines League Play,1,Caloocan,12,8,Muntinlupa,False
434,1,Philippines League Play,1,Zamboanga,6,8,Las Piñas,False
435,1,Philippines League Play,1,Cebu City,12,8,Bacoor,False
436,1,Philippines League Play,1,Antipolo,11,20,Parañaque,False
