,YEAR,COMPETITION,STAGE,Home,HomeScore,AwayScore,Away,ExtraEnd
27,1,Americas CL Stage 1 Path 4,1,Bogota,14,7,Tucuman,False
28,1,Americas CL Stage 1 Path 4,1,Nezahualcoyotl,10,11,San Diego,False
29,1,Americas CL Stage 1 Path 5,1,Trujillo,7,12,Indianapolis,False
30,1,Americas CL Stage 1 Path 5,1,Leon,7,6,Belo Horizonte,True
31,1,MEA CL GROUP 1,1,Taif,8,15,Mombasa,False
32,1,MEA CL GROUP 1,1,Benin City,9,11,Dubai,False
33,1,MEA CL GROUP 1,1,Algiers,10,9,Rishon LeZion,False
34,1,MEA CL GROUP 1,1,Casablanca,9,8,Doha,True
35,1,MEA CL GROUP 1,1,Kano,11,9,Ajman,False
36,1,MEA CL GROUP 2,1,Petah Tikva,7,8,Seeb,False
37,1,MEA CL GROUP 2,1,Johannesburg,12,8,Malanje,False
38,1,MEA CL GROUP 2,1,Ekurhuleni,9,11,Abuja,False
39,1,MEA CL GROUP 2,1,Cape Town,14,9,Fes,False
40,1,MEA CL GROUP 2,1,Alexandria,14,7,Luanda,False
41,1,MEA CL GROUP 3,1,Hawassa,10,19,Al Ahmadi,False
42,1,MEA CL GROUP 3,1,Giza,9,11,Lagos,False
43,1,MEA CL GROUP 3,1,Muscat,9,12,Abu Dhabi,False
44,1,MEA CL GROUP 3,1,Beer Sheva,13,10,Baghdad,False
45,1,MEA CL GROUP 3,1,Medina,11,10,Cairo,True
46,1,MEA CL GROUP 4,1,Sulaymaniyah,9,13,Sharjah,False
47,1,MEA CL GROUP 4,1,Addis Ababa,10,6,Nairobi,False
48,1,MEA CL GROUP 4,1,Riyadh,10,6,Netanya,False
49,1,MEA CL GROUP 4,1,Al Rayyan,6,5,Oran,False
50,1,MEA CL GROUP 4,1,Kuwait City,8,7,Mecca,False
51,1,Algeria League Play,1,Algiers,21,11,Tlemcen,False
52,1,Algeria League Play,1,Oran,7,5,Béchar,False
53,1,Algeria League Play,1,Constantine,16,11,Tiaret,False
54,1,Algeria League Play,1,Setif,11,8,El Oued,False
55,1,Algeria League Play,1,Batna,9,8,Médéa,True
56,1,Algeria League Play,1,Blida,10,12,Jijel,False
57,1,Algeria League Play,1,Annaba,11,10,Mostaganem,True
58,1,Algeria League Play,1,Djelfa,8,7,Skikda,True
59,1,Algeria League Play,1,Biskra,11,10,Sidi Bel Abbes,True
60,1,Algeria League Play,1,Bejaia,8,10,Tébessa,False
61,1,Angola League Play,1,Luanda,11,7,Menongue,False
62,1,Angola League Play,1,Huambo,13,7,Saurimo,False
63,1,Angola League Play,1,Lobito,15,8,Soyo,False
64,1,Angola League Play,1,Cabinda,14,10,Cazombo,False
65,1,Angola League Play,1,Lubango,10,9,Lucapa,False
66,1,Angola League Play,1,Benguela,11,12,Ndalatando,False
67,1,Angola League Play,1,Malanje,11,7,Xangongo,False
68,1,Angola League Play,1,Sumbe,9,10,Longonjo,False
69,1,Angola League Play,1,Uige,8,13,Dundo,False
70,1,Angola League Play,1,Namibe,8,15,Kuito,False
71,1,Argentina League Play,1,Buenos Aires,14,5,Santiago del Estero,False
72,1,Argentina League Play,1,Cordoba,13,7,General Pueyrredon,False
73,1,Argentina League Play,1,Rosario,12,8,Neuquen,False
74,1,Argentina League Play,1,Mendoza,11,10,Corrientes,True
75,1,Argentina League Play,1,Tucuman,12,9,Resistencia,False
76,1,Argentina League Play,1,La Plata,11,8,San Juan,False
77,1,Argentina League Play,1,Mar del Plata,11,7,Florencio Varela,False
78,1,Argentina League Play,1,Salta,8,7,Moreno,False
79,1,Argentina League Play,1,Quilmes,10,12,Lanus,False
80,1,Argentina League Play,1,Santa Fe,12,10,Almirante Brown,False
81,1,Australia League Play,1,Sydney,11,8,Mackay,False
82,1,Australia League Play,1,Melbourne,15,5,Launceston,False
83,1,Australia League Play,1,Brisbane,9,11,Ballarat,False
84,1,Australia League Play,1,Perth,19,8,Bendigo,False
85,1,Australia League Play,1,Adelaide,17,10,Darwin,False
86,1,Australia League Play,1,Gold Coast,11,8,Toowoomba,False
87,1,Australia League Play,1,Canberra,10,9,Cairns,True
88,1,Australia League Play,1,Sunshine Coast,10,9,Townsville,True
89,1,Australia League Play,1,Wollongong,11,8,Hobart,False
90,1,Australia League Play,1,Newcastle,10,14,Geelong,False
91,1,Austria League Play,1,Vienna,19,10,Amstetten,False
92,1,Austria League Play,1,Graz,20,9,Traun,False
93,1,Austria League Play,1,Linz,8,6,Krems,False
94,1,Austria League Play,1,Salzburg,14,7,Leoben,False
95,1,Austria League Play,1,Innsbruck,11,9,Bregenz,False
96,1,Austria League Play,1,Klagenfurt,8,6,Feldkirch,False
97,1,Austria League Play,1,Wels,13,10,Leonding,False
98,1,Austria League Play,1,Villach,12,10,Klosterneuburg,False
99,1,Austria League Play,1,Sankt Polten,5,7,Steyr,False
100,1,Austria League Play,1,Dornbirn,8,10,Wiener Neustadt,False
101,1,Bangladesh League Play,1,Dhaka,18,6,Chandpur,False
102,1,Bangladesh League Play,1,Chittagong,22,11,Faridpur,False
103,1,Bangladesh League Play,1,Gazipur,14,9,Tangail,False
104,1,Bangladesh League Play,1,Narayanganj,16,11,Nawabganj,False
105,1,Bangladesh League Play,1,Khulna,17,8,Tongi,False
106,1,Bangladesh League Play,1,Rajshahi,15,10,Barisal,False
107,1,Bangladesh League Play,1,Sylhet,14,8,Jessore,False
108,1,Bangladesh League Play,1,Savar,11,9,Bogra,False
109,1,Bangladesh League Play,1,Comilla,4,8,Dinajpur,False
110,1,Bangladesh League Play,1,Mymensingh,7,8,Rangpur,False
111,1,Belgium League Play,1,Brussels,16,8,Roeselare,False
112,1,Belgium League Play,1,Antwerp,11,8,Seraing,False
113,1,Belgium League Play,1,Ghent,9,8,Ostend,False
114,1,Belgium League Play,1,Charleroi,13,7,Genk,False
115,1,Belgium League Play,1,Liege,9,5,Tournai,False
116,1,Belgium League Play,1,Bruges,9,15,La Louviere,False
117,1,Belgium League Play,1,Namur,12,7,Hasselt,False
118,1,Belgium League Play,1,Leuven,13,10,Kortrijk,False
119,1,Belgium League Play,1,Mons,10,9,Sint-Niklaas,False
120,1,Belgium League Play,1,Aalst,9,8,Mechelen,False
121,1,Brazil League Play,1,Sao Paulo,11,10,Joao Pessoa,False
122,1,Brazil League Play,1,Rio de Janeiro,13,10,Campo Grande,False
123,1,Brazil League Play,1,Brasilia,11,7,Teresina,False
124,1,Brazil League Play,1,Salvador,9,8,Natal,False
125,1,Brazil League Play,1,Fortaleza,9,8,Maceio,False
126,1,Brazil League Play,1,Belo Horizonte,11,13,Sao Luis,False
127,1,Brazil League Play,1,Manaus,13,8,Campinas,False
128,1,Brazil League Play,1,Curitiba,9,7,Guarulhos,False
129,1,Brazil League Play,1,Recife,13,9,Porto Alegre,False
130,1,Brazil League Play,1,Goiania,7,10,Belem,False
131,1,Canada League Play,1,Toronto,14,9,Longueuil,False
132,1,Canada League Play,1,Montreal,10,5,Gatineau,False
133,1,Canada League Play,1,Calgary,9,8,Saskatoon,False
134,1,Canada League Play,1,Ottawa,8,10,Vaughan,False
135,1,Canada League Play,1,Edmonton,8,7,Markham,True
136,1,Canada League Play,1,Winnipeg,18,7,London,False
137,1,Canada League Play,1,Mississauga,13,8,Laval,False
138,1,Canada League Play,1,Vancouver,7,6,Halifax,False
139,1,Canada League Play,1,Brampton,8,5,Quebec City,False
140,1,Canada League Play,1,Hamilton,10,15,Surrey,False
141,1,Chile League Play,1,Santiago,9,11,Villa Alemana,False
142,1,Chile League Play,1,Concepcion,9,6,Quilpue,False
143,1,Chile League Play,1,Valparaiso,12,8,Osorno,False
144,1,Chile League Play,1,Antofagasta,11,8,Calama,False
145,1,Chile League Play,1,La Serena,14,11,San Pedro de la Paz,False
146,1,Chile League Play,1,Temuco,6,17,Punta Arenas,False
147,1,Chile League Play,1,Rancagua,12,10,Valdivia,False
148,1,Chile League Play,1,Puerto Montt,8,15,Copiapó,False
149,1,Chile League Play,1,Iquique,10,9,Coquimbo,True
150,1,Chile League Play,1,Arica,10,12,Talca,False
151,1,China League Play,1,Chongqing,9,8,Kunming,True
152,1,China League Play,1,Shanghai,10,14,Dalian,False
153,1,China League Play,1,Beijing,6,5,Changsha,True
154,1,China League Play,1,Shenzhen,11,17,Shenyang,False
155,1,China League Play,1,Guangzhou,10,7,Nanjing,False
156,1,China League Play,1,Tianjin,10,8,Jinan,False
157,1,China League Play,1,Xi'an,7,8,Chengdu,False
158,1,China League Play,1,Zhengzhou,7,10,Qingdao,False
159,1,China League Play,1,Hangzhou,10,11,Harbin,False
160,1,China League Play,1,Wuhan,8,7,Suzhou,True
161,1,Colombia League Play,1,Bogota,21,8,Manizales,False
162,1,Colombia League Play,1,Cali,14,6,Monteria,False
163,1,Colombia League Play,1,Medellín,15,9,Neiva,False
164,1,Colombia League Play,1,Barranquilla,10,12,Palmira,False
165,1,Colombia League Play,1,Cartagena,5,11,Armenia,False
166,1,Colombia League Play,1,Cucuta,7,6,Santa Marta,False
167,1,Colombia League Play,1,Soledad,7,5,Valledupar,False
168,1,Colombia League Play,1,Bucaramanga,8,11,Pasto,False
169,1,Colombia League Play,1,Pereira,14,10,Soacha,False
170,1,Colombia League Play,1,Ibague,8,10,Villavicencio,False
171,1,Czech Republic League Play,1,Prague,13,7,Teplice,False
172,1,Czech Republic League Play,1,Brno,13,8,Decin,False
173,1,Czech Republic League Play,1,Ostrava,6,12,Jihlava,False
174,1,Czech Republic League Play,1,Plzen,8,10,Opava,False
175,1,Czech Republic League Play,1,Liberec,14,9,Frydek-Mistek,False
176,1,Czech Republic League Play,1,Hradec Králové,14,8,Karvina,False
177,1,Czech Republic League Play,1,Pardubice,7,9,Most,False
178,1,Czech Republic League Play,1,Ústí nad Labem,9,14,Kladno,False
179,1,Czech Republic League Play,1,Olomouc,8,9,Zlín,False
180,1,Czech Republic League Play,1,České Budějovice,10,13,Havirov,False
181,1,Denmark League Play,1,Copenhagen,17,10,Sønderborg,False
182,1,Denmark League Play,1,Aarhus,13,10,Fredericia,False
183,1,Denmark League Play,1,Aalborg,16,9,Naestved,False
184,1,Denmark League Play,1,Odense,13,9,Hillerød,False
185,1,Denmark League Play,1,Esbjerg,10,11,Helsingør,False
186,1,Denmark League Play,1,Vejle,13,8,Holstebro,False
187,1,Denmark League Play,1,Copenhagen S,10,9,Viborg,False
188,1,Denmark League Play,1,Frederiksberg,12,8,Silkeborg,False
189,1,Denmark League Play,1,Herning,11,10,Kolding,True
190,1,Denmark League Play,1,Randers,7,11,Horsens,False
191,1,Ecuador League Play,1,Guayaquil,19,8,Azogues,False
192,1,Ecuador League Play,1,Quito,14,11,Nueva Loja,False
193,1,Ecuador League Play,1,Cuenca,12,10,Tulcán,False
194,1,Ecuador League Play,1,Santo Domingo,11,8,Eloy Alfaro,False
195,1,Ecuador League Play,1,Portoviejo,10,9,Riobamba,True
196,1,Ecuador League Play,1,Machala,10,8,Latacunga,False
197,1,Ecuador League Play,1,Manta,13,9,Quevedo,False
198,1,Ecuador League Play,1,Loja,13,8,Babahoyo,False
199,1,Ecuador League Play,1,Esmeraldas,11,9,Milagro,False
200,1,Ecuador League Play,1,Ibarra,12,7,Ambato,False
201,1,Egypt League Play,1,Cairo,17,8,Sohag,False
202,1,Egypt League Play,1,Alexandria,10,6,Fayyum,False
203,1,Egypt League Play,1,Giza,19,8,Dammietta,False
204,1,Egypt League Play,1,Shubra El Kheima,11,10,Aswan,False
205,1,Egypt League Play,1,Suez,10,8,Beni Suef,False
206,1,Egypt League Play,1,Port Said,16,7,Zagazig,False
207,1,Egypt League Play,1,Al-Mansura,9,8,Damanhur,True
208,1,Egypt League Play,1,El-Mahalla El-Kubra,8,6,Minya,False
209,1,Egypt League Play,1,Tanta,8,12,Luxor,False
210,1,Egypt League Play,1,Asyut,7,13,Ismailia,False
211,1,Ethiopia League Play,1,Addis Ababa,20,7,Harar,False
212,1,Ethiopia League Play,1,Dire Dawa,8,7,Dilla,False
213,1,Ethiopia League Play,1,Gondar,12,9,Nekemte,False
214,1,Ethiopia League Play,1,Mekele,11,9,Debre Markos,False
215,1,Ethiopia League Play,1,Nazret,16,10,Kombolcha,False
216,1,Ethiopia League Play,1,Bahir Dar,12,11,Sodo,True
217,1,Ethiopia League Play,1,Hawassa,11,8,Arba Minch,False
218,1,Ethiopia League Play,1,Dessie,10,7,Hosaena,False
219,1,Ethiopia League Play,1,Jimma,7,13,Bishoftu,False
220,1,Ethiopia League Play,1,Jijiga,11,10,Shashamane,False
221,1,Finland League Play,1,Helsinki,16,10,Kotka,False
222,1,Finland League Play,1,Espoo,16,11,Salo,False
223,1,Finland League Play,1,Tampere,15,9,Mikkeli,False
224,1,Finland League Play,1,Vantaa,11,7,Lappeenranta,False
225,1,Finland League Play,1,Oulu,8,7,Hameenlinna,False
226,1,Finland League Play,1,Turku,9,10,Rovaniemi,False
227,1,Finland League Play,1,Jyvaskyla,17,9,Vaasa,False
228,1,Finland League Play,1,Kuopio,12,8,Seinajoki,False
229,1,Finland League Play,1,Lahti,9,7,Joensuu,False
230,1,Finland League Play,1,Pori,11,10,Kouvola,True
231,1,France League Play,1,Paris,17,10,Nimes,False
232,1,France League Play,1,Marseille,13,6,Villeurbanne,False
233,1,France League Play,1,Lyon,7,8,Angers,False
234,1,France League Play,1,Toulouse,8,12,Dijon,False
235,1,France League Play,1,Nice,10,14,Grenoble,False
236,1,France League Play,1,Nantes,11,8,Saint-Etienne,False
237,1,France League Play,1,Montpellier,10,13,Le Havre,False
238,1,France League Play,1,Strasbourg,9,7,Toulon,False
239,1,France League Play,1,Bordeaux,15,9,Reims,False
240,1,France League Play,1,Lille,10,9,Rennes,False
241,1,Germany League Play,1,Berlin,9,10,Mannheim,False
242,1,Germany League Play,1,Hamburg,13,9,Bielefeld,False
243,1,Germany League Play,1,Munich,13,9,Bonn,False
244,1,Germany League Play,1,Cologne,8,7,Wuppertal,True
245,1,Germany League Play,1,Frankfurt,10,11,Bochum,False
246,1,Germany League Play,1,Stuttgart,15,9,Duisburg,False
247,1,Germany League Play,1,Dusseldorf,7,8,Nuremberg,False
248,1,Germany League Play,1,Leipzig,7,6,Hanover,False
249,1,Germany League Play,1,Dortmund,8,10,Dresden,False
250,1,Germany League Play,1,Essen,12,11,Bremen,True
251,1,Greece League Play,1,Athens,18,9,Ioannina,False
252,1,Greece League Play,1,Thessaloniki,18,11,Chania,False
253,1,Greece League Play,1,Patras,8,9,Chalcis,False
254,1,Greece League Play,1,Heraklion,8,7,Acharnes,False
255,1,Greece League Play,1,Larissa,10,11,Kalamaria,False
256,1,Greece League Play,1,Volos,8,7,Nikaia,True
257,1,Greece League Play,1,Peristeri,15,10,Glyfada,False
258,1,Greece League Play,1,Piraeus,9,8,Ilion,True
259,1,Greece League Play,1,Kallithea,8,13,Rhodes,False
260,1,Greece League Play,1,Zografou,8,11,Agios Dimitrios,False
261,1,Hong Kong League Play,1,Hong Kong,13,8,Hung Hom,False
262,1,Hong Kong League Play,1,Kowloon,16,8,Central,False
263,1,Hong Kong League Play,1,Sha Tin,10,9,Causeway Bay,True
264,1,Hong Kong League Play,1,Yuen Long,13,10,Shau Kei Wan,False
265,1,Hong Kong League Play,1,Kwai Chung,15,5,Aberdeen,False
266,1,Hong Kong League Play,1,Tuen Mun,10,9,Mong Kok,True
267,1,Hong Kong League Play,1,Tseung Kwan O,11,16,Ma On Shan,False
268,1,Hong Kong League Play,1,Tai Po,8,13,Wan Chai,False
269,1,Hong Kong League Play,1,Tsuen Wan,9,12,Tin Shui Wai,False
270,1,Hong Kong League Play,1,Sai Kung,11,9,Fanling,False
271,1,Hungary League Play,1,Budapest,16,10,Kaposvar,False
272,1,Hungary League Play,1,Debrecen,15,9,Veszprem,False
273,1,Hungary League Play,1,Miskolc,11,10,Bekescsaba,False
274,1,Hungary League Play,1,Szeged,10,16,Eger,False
275,1,Hungary League Play,1,Gyor,7,10,Érd,False
276,1,Hungary League Play,1,Kecskemet,10,15,Dunaujvaros,False
277,1,Hungary League Play,1,Pécs,9,8,Sopron,False
278,1,Hungary League Play,1,Győr,8,7,Zalaegerszeg,True
279,1,Hungary League Play,1,Nyiregyhaza,9,12,Szolnok,False
280,1,Hungary League Play,1,Szekesfehervar,10,9,Szombathely,False
281,1,India League Play,1,Delhi,17,11,Ghaziabad,False
282,1,India League Play,1,Mumbai,12,9,Visakhapatnam,False
283,1,India League Play,1,Kolkata,9,11,Vadodara,False
284,1,India League Play,1,Bangalore,10,8,Patna,False
285,1,India League Play,1,Hyderabad,9,10,Bhopal,False
286,1,India League Play,1,Chennai,12,10,Thane,False
287,1,India League Play,1,Ahmedabad,7,8,Nagpur,False
288,1,India League Play,1,Pune,12,11,Kanpur,True
289,1,India League Play,1,Surat,7,8,Indore,False
290,1,India League Play,1,Jaipur,8,7,Lucknow,False
291,1,Indonesia League Play,1,Jakarta,9,7,Pontianak,False
292,1,Indonesia League Play,1,Surabaya,9,7,Banjarmasin,False
293,1,Indonesia League Play,1,Bandung,9,8,Tasikmalaya,True
294,1,Indonesia League Play,1,Bekasi,11,8,Samarinda,False
295,1,Indonesia League Play,1,Medan,8,10,Malang,False
296,1,Indonesia League Play,1,Depok,9,8,Padang,True
297,1,Indonesia League Play,1,Tangerang,9,13,Bandar Lampung,False
298,1,Indonesia League Play,1,Semarang,11,14,Bogor,False
299,1,Indonesia League Play,1,Makassar,8,7,Pekanbaru,True
300,1,Indonesia League Play,1,Palembang,14,11,Batam,False
301,1,Iraq League Play,1,Baghdad,14,7,Tikrit,False
302,1,Iraq League Play,1,Basra,14,11,Diyala,False
303,1,Iraq League Play,1,Mosul,21,10,Fallujah,False
304,1,Iraq League Play,1,Erbil,10,9,Amarah,False
305,1,Iraq League Play,1,Kirkuk,5,9,Samawah,False
306,1,Iraq League Play,1,Sulaymaniyah,9,10,Dohuk,False
307,1,Iraq League Play,1,Najaf,13,9,Kut,False
308,1,Iraq League Play,1,Karbala,12,8,Diwaniyah,False
309,1,Iraq League Play,1,Nasiriyah,19,8,Baqubah,False
310,1,Iraq League Play,1,Ramadi,7,12,Hillah,False
311,1,Ireland League Play,1,Dublin,17,8,Athlone,False
312,1,Ireland League Play,1,Cork,14,8,Mullingar,False
313,1,Ireland League Play,1,Limerick,11,9,Ennis,False
314,1,Ireland League Play,1,Galway,14,8,Tralee,False
315,1,Ireland League Play,1,Waterford,11,8,Portlaoise,False
316,1,Ireland League Play,1,Drogheda,9,11,Newbridge,False
317,1,Ireland League Play,1,Swords,12,8,Carlow,False
318,1,Ireland League Play,1,Dundalk,11,9,Naas,False
319,1,Ireland League Play,1,Bray,16,9,Balbriggan,False
320,1,Ireland League Play,1,Kilkenny,10,9,Navan,False
321,1,Israel League Play,1,Jerusalem,16,11,Ramla,False
322,1,Israel League Play,1,Tel Aviv,9,10,Lod,False
323,1,Israel League Play,1,Haifa,11,8,Nazareth,False
324,1,Israel League Play,1,Petah Tikva,17,10,Modi'in,False
325,1,Israel League Play,1,Rishon LeZion,4,6,Kfar Saba,False
326,1,Israel League Play,1,Ashdod,13,9,Herzliya,False
327,1,Israel League Play,1,Netanya,9,8,Bat Yam,False
328,1,Israel League Play,1,Beer Sheva,17,8,Ashkelon,False
329,1,Israel League Play,1,Bnei Brak,9,13,Rehovot,False
330,1,Israel League Play,1,Holon,10,7,Ramat Gan,False
331,1,Italy League Play,1,Rome,7,9,Reggio Calabria,False
332,1,Italy League Play,1,Milan,8,6,Modena,False
333,1,Italy League Play,1,Naples,10,11,Parma,False
334,1,Italy League Play,1,Turin,17,9,Brescia,False
335,1,Italy League Play,1,Palermo,11,10,Taranto,True
336,1,Italy League Play,1,Genoa,9,8,Trieste,True
337,1,Italy League Play,1,Bologna,8,7,Padua,True
338,1,Italy League Play,1,Florence,9,7,Messina,False
339,1,Italy League Play,1,Bari,9,8,Verona,False
340,1,Italy League Play,1,Catania,9,12,Venice,False
341,1,Japan League Play,1,Tokyo,18,11,Shizuoka,False
342,1,Japan League Play,1,Yokohama,7,9,Sagamihara,False
343,1,Japan League Play,1,Osaka,10,9,Okayama,False
344,1,Japan League Play,1,Nagoya,8,11,Niigata,False
345,1,Japan League Play,1,Sapporo,8,12,Hamamatsu,False
346,1,Japan League Play,1,Fukuoka,13,10,Sakai,False
347,1,Japan League Play,1,Kobe,8,12,Kitakyushu,False
348,1,Japan League Play,1,Kawasaki,6,10,Chiba,False
349,1,Japan League Play,1,Kyoto,10,9,Sendai,True
350,1,Japan League Play,1,Saitama,8,14,Hiroshima,False
351,1,Kazakhstan League Play,1,Almaty,17,10,Kokshetau,False
352,1,Kazakhstan League Play,1,Shymkent,7,12,Ekibastuz,False
353,1,Kazakhstan League Play,1,Astana,18,7,Rudny,False
354,1,Kazakhstan League Play,1,Karaganda,9,10,Aktau,False
355,1,Kazakhstan League Play,1,Aktobe,9,14,Kostanay,False
356,1,Kazakhstan League Play,1,Taraz,8,10,Petropavl,False
357,1,Kazakhstan League Play,1,Pavlodar,8,14,Oral,False
358,1,Kazakhstan League Play,1,Semey,9,8,Kyzylorda,True
359,1,Kazakhstan League Play,1,Atyrau,7,13,Turkestan,False
360,1,Kazakhstan League Play,1,Ust-Kamenogorsk,10,14,Temirtau,False
361,1,Kenya League Play,1,Nairobi,20,8,Lamu,False
362,1,Kenya League Play,1,Mombasa,19,10,Embu,False
363,1,Kenya League Play,1,Kisumu,17,8,Naivasha,False
364,1,Kenya League Play,1,Nakuru,13,9,Wajir,False
365,1,Kenya League Play,1,Eldoret,11,10,Nyeri,False
366,1,Kenya League Play,1,Ruiru,11,9,Kericho,False
367,1,Kenya League Play,1,Kikuyu,9,16,Malindi,False
368,1,Kenya League Play,1,Machakos,12,8,Meru,False
369,1,Kenya League Play,1,Thika,17,12,Kisii,False
370,1,Kenya League Play,1,Garissa,7,6,Kitale,True
371,1,Kuwait League Play,1,Kuwait City,21,10,Sabahiya,False
372,1,Kuwait League Play,1,Hawalli,15,9,Um Al Hayman,False
373,1,Kuwait League Play,1,Al Farwaniyah,19,10,Ruq'i,False
374,1,Kuwait League Play,1,Al Ahmadi,17,11,Abu Halifa,False
375,1,Kuwait League Play,1,Jahra,9,7,Fintas,False
376,1,Kuwait League Play,1,Mubarak Al-Kabeer,9,7,Mishref,False
377,1,Kuwait League Play,1,Salmiya,10,15,Salwa,False
378,1,Kuwait League Play,1,Fahaheel,9,8,Bayan,False
379,1,Kuwait League Play,1,Rumaithiyya,8,7,Ar Riqqah,False
380,1,Kuwait League Play,1,Sabah Al-Salem,12,8,Al-Mangaf,False
381,1,Malaysia League Play,1,Kuala Lumpur,14,10,Putrajaya,False
382,1,Malaysia League Play,1,Klang,15,9,Miri,False
383,1,Malaysia League Play,1,Johor Bahru,9,8,Kuala Terengganu,False
384,1,Malaysia League Play,1,Penang,15,10,Alor Setar,False
385,1,Malaysia League Play,1,Ipoh,14,10,Kuantan,False
386,1,Malaysia League Play,1,Subang Jaya,9,8,Malacca,False
387,1,Malaysia League Play,1,Kuching,11,10,Kota Bharu,False
388,1,Malaysia League Play,1,Shah Alam,6,5,Kota Kinabalu,False
389,1,Malaysia League Play,1,Petaling Jaya,9,11,Seremban,False
390,1,Malaysia League Play,1,Kajang,11,12,Ampang Jaya,False
391,1,Mexico League Play,1,Mexico City,14,9,Acapulco,False
392,1,Mexico League Play,1,Puebla,9,5,Mexicali,False
393,1,Mexico League Play,1,Ecatepec,6,10,Aguascalientes,False
394,1,Mexico League Play,1,Tijuana,10,8,San Luis Potosi,False
395,1,Mexico League Play,1,Leon,8,10,Saltillo,False
396,1,Mexico League Play,1,Juarez,9,8,Culiacan,False
397,1,Mexico League Play,1,Guadalajara,9,8,Hermosillo,True
398,1,Mexico League Play,1,Zapopan,9,10,Merida,False
399,1,Mexico League Play,1,Monterrey,9,10,Naucalpan,False
400,1,Mexico League Play,1,Nezahualcoyotl,15,8,Chihuahua,False
401,1,Morocco League Play,1,Casablanca,17,10,Al Hoceima,False
402,1,Morocco League Play,1,Rabat,11,8,Mohammedia,False
403,1,Morocco League Play,1,Fes,5,6,El Jadida,False
404,1,Morocco League Play,1,Tangier,11,8,Beni Mellal,False
405,1,Morocco League Play,1,Sale,10,9,Nador,True
406,1,Morocco League Play,1,Marrakech,11,10,Taza,True
407,1,Morocco League Play,1,Agadir,8,13,Khouribga,False
408,1,Morocco League Play,1,Meknes,7,12,Temara,False
409,1,Morocco League Play,1,Kenitra,10,8,Safi,False
410,1,Morocco League Play,1,Oujda,10,8,Tetouan,False
411,1,Netherlands League Play,1,Amsterdam,17,7,Zwolle,False
412,1,Netherlands League Play,1,Rotterdam,9,6,Leiden,False
413,1,Netherlands League Play,1,The Hague,10,8,Dordrecht,False
414,1,Netherlands League Play,1,Utrecht,8,9,Amersfoort,False
415,1,Netherlands League Play,1,Tilburg,10,9,Zaanstad,False
416,1,Netherlands League Play,1,Eindhoven,8,6,Apeldoorn,False
417,1,Netherlands League Play,1,Groningen,9,8,Haarlem,False
418,1,Netherlands League Play,1,Almere,9,8,Enschede,True
419,1,Netherlands League Play,1,Breda,16,8,Haarlemmermeer,False
420,1,Netherlands League Play,1,Nijmegen,11,10,Arnhem,False
421,1,New Zealand League Play,1,Auckland,16,7,Blenheim,False
422,1,New Zealand League Play,1,Wellington,15,9,Timaru,False
423,1,New Zealand League Play,1,Christchurch,18,11,Taupo,False
424,1,New Zealand League Play,1,Hamilton,10,8,Masterton,False
425,1,New Zealand League Play,1,Tauranga,11,7,Levin,False
426,1,New Zealand League Play,1,Napier-Hastings,6,9,Gisborne,False
427,1,New Zealand League Play,1,Dunedin,9,8,Invercargill,True
